Date,Time,Temp,Humidity,Heat
20/4/2023,0:00:00,37.7,35.6,99.9
20/4/2023,0:15:00,35.6,21.9,96.1
20/4/2023,0:30:00,39,42.2,102.2
20/4/2023,0:45:00,40.8,31.8,105.4
20/4/2023,1:00:00,42,31.8,107.6
20/4/2023,1:15:00,42.5,22.1,108.5
20/4/2023,1:30:00,35.9,26.8,96.6
20/4/2023,1:45:00,42.2,27.2,108
20/4/2023,2:00:00,41,32.3,105.8
20/4/2023,2:15:00,41.2,39.6,106.2
20/4/2023,2:30:00,39.6,31.2,103.3
20/4/2023,2:45:00,40.5,21.5,104.9
20/4/2023,3:00:00,39.9,42.7,103.8
20/4/2023,3:15:00,37.4,20.7,99.3
20/4/2023,3:30:00,35.9,26.2,96.6
20/4/2023,3:45:00,35.9,32.9,96.6
20/4/2023,4:00:00,37.2,44,99
20/4/2023,4:15:00,39.8,47.7,103.6
20/4/2023,4:30:00,41.1,36.4,106
20/4/2023,4:45:00,38.8,21.5,101.8
20/4/2023,5:00:00,38.2,27.4,100.8
20/4/2023,5:15:00,40.3,44.9,104.5
20/4/2023,5:30:00,35.3,22.6,95.5
20/4/2023,5:45:00,35.7,39.2,96.3
20/4/2023,6:00:00,35.3,28.7,95.5
20/4/2023,6:15:00,36.3,40,97.3
20/4/2023,6:30:00,35.1,28.3,95.2
20/4/2023,6:45:00,42.7,42.5,108.9
20/4/2023,7:00:00,40.2,34.2,104.4
20/4/2023,7:15:00,40.8,38.5,105.4
20/4/2023,7:30:00,38.4,36.5,101.1
20/4/2023,7:45:00,39.7,36.6,103.5
20/4/2023,8:00:00,27.2,23,81
20/4/2023,8:15:00,27.5,30.7,81.5
20/4/2023,8:30:00,26,17.9,78.8
20/4/2023,8:45:00,26.1,21.3,79
20/4/2023,9:00:00,27.3,28.3,81.1
20/4/2023,9:15:00,25.3,26.6,77.5
20/4/2023,9:30:00,28.6,29.7,83.5
20/4/2023,9:45:00,28.1,33.2,82.6
20/4/2023,10:00:00,27.7,27.3,81.9
20/4/2023,10:15:00,26.5,18.4,79.7
20/4/2023,10:30:00,28.3,14.7,82.9
20/4/2023,10:45:00,28.1,24.6,82.6
20/4/2023,11:00:00,26.9,28.9,80.4
20/4/2023,11:15:00,27.6,30.6,81.7
20/4/2023,11:30:00,28.7,14.9,83.7
20/4/2023,11:45:00,27,29.1,80.6
20/4/2023,12:00:00,39.5,40.3,103.1
20/4/2023,12:15:00,38.5,27.3,101.3
20/4/2023,12:30:00,40,21.8,104
20/4/2023,12:45:00,38.2,32.5,100.8
20/4/2023,13:00:00,25.8,16.9,78.4
20/4/2023,13:15:00,27.6,28.4,81.7
20/4/2023,13:30:00,25.3,17.3,77.5
20/4/2023,13:45:00,28.8,17.4,83.8
20/4/2023,14:00:00,25.4,14.5,77.7
20/4/2023,14:15:00,25.6,25.5,78.1
20/4/2023,14:30:00,25.5,21.9,77.9
20/4/2023,14:45:00,28.7,18.8,83.7
20/4/2023,15:00:00,27.8,27.8,82
20/4/2023,15:15:00,25.1,25.3,77.2
20/4/2023,15:30:00,27.8,24.8,82
20/4/2023,15:45:00,27.4,22.1,81.3
20/4/2023,16:00:00,26.2,28.3,79.2
20/4/2023,16:15:00,28.1,33.1,82.6
20/4/2023,16:30:00,28.7,17.6,83.7
20/4/2023,16:45:00,28.1,18.3,82.6
20/4/2023,17:00:00,35.2,40.4,95.4
20/4/2023,17:15:00,40.9,32.2,105.6
20/4/2023,17:30:00,41.4,45.4,106.5
20/4/2023,17:45:00,37.1,34.1,98.8
20/4/2023,18:00:00,37.5,20.8,99.5
20/4/2023,18:15:00,37.7,33.1,99.9
20/4/2023,18:30:00,42.2,22.3,108
20/4/2023,18:45:00,36.5,37.9,97.7
20/4/2023,19:00:00,41.3,45.5,106.3
20/4/2023,19:15:00,41.1,45.3,106
20/4/2023,19:30:00,37.7,35,99.9
20/4/2023,19:45:00,38.1,37.8,100.6
20/4/2023,20:00:00,39.4,30.2,102.9
20/4/2023,20:15:00,41.6,22.5,106.9
20/4/2023,20:30:00,39.9,34.1,103.8
20/4/2023,20:45:00,36.6,20.8,97.9
20/4/2023,21:00:00,36.6,36.5,97.9
20/4/2023,21:15:00,42.3,44,108.1
20/4/2023,21:30:00,42.8,39.2,109
20/4/2023,21:45:00,36.6,26.1,97.9
20/4/2023,22:00:00,37,41.6,98.6
20/4/2023,22:15:00,38.4,45.6,101.1
20/4/2023,22:30:00,37.8,45.2,100
20/4/2023,22:45:00,42.8,30.7,109
20/4/2023,23:00:00,36.7,43.8,98.1
20/4/2023,23:15:00,35.3,20.4,95.5
20/4/2023,23:30:00,36.7,33.3,98.1
20/4/2023,23:45:00,39.1,37.5,102.4
21/4/2023,0:00:00,38.2,40.3,100.8
21/4/2023,0:15:00,41.3,24.2,106.3
21/4/2023,0:30:00,38.3,36.4,100.9
21/4/2023,0:45:00,40.8,32.3,105.4
21/4/2023,1:00:00,36.8,44,98.2
21/4/2023,1:15:00,39.6,31.2,103.3
21/4/2023,1:30:00,41.8,21.2,107.2
21/4/2023,1:45:00,35.8,21.6,96.4
21/4/2023,2:00:00,41.9,49.3,107.4
21/4/2023,2:15:00,38.1,36.3,100.6
21/4/2023,2:30:00,40.6,26.3,105.1
21/4/2023,2:45:00,36.4,22.2,97.5
21/4/2023,3:00:00,35.9,22.7,96.6
21/4/2023,3:15:00,37.5,22.2,99.5
21/4/2023,3:30:00,41.5,31.8,106.7
21/4/2023,3:45:00,36.1,40.5,97
21/4/2023,4:00:00,39.4,29.8,102.9
21/4/2023,4:15:00,40.5,21.5,104.9
21/4/2023,4:30:00,36.7,20.8,98.1
21/4/2023,4:45:00,37.5,31.9,99.5
21/4/2023,5:00:00,39.8,25.7,103.6
21/4/2023,5:15:00,42.5,37.1,108.5
21/4/2023,5:30:00,41.7,30.5,107.1
21/4/2023,5:45:00,37.4,23.9,99.3
21/4/2023,6:00:00,41.6,43.9,106.9
21/4/2023,6:15:00,37.3,18.9,99.1
21/4/2023,6:30:00,40.4,30.6,104.7
21/4/2023,6:45:00,42.6,46.4,108.7
21/4/2023,7:00:00,40.8,40.8,105.4
21/4/2023,7:15:00,41.4,35.6,106.5
21/4/2023,7:30:00,36.7,24.5,98.1
21/4/2023,7:45:00,37.3,31.6,99.1
21/4/2023,8:00:00,27.6,21.3,81.7
21/4/2023,8:15:00,27.7,31.6,81.9
21/4/2023,8:30:00,28.8,21.1,83.8
21/4/2023,8:45:00,28.2,25.4,82.8
21/4/2023,9:00:00,26.4,31.2,79.5
21/4/2023,9:15:00,26,23.6,78.8
21/4/2023,9:30:00,26.8,24.8,80.2
21/4/2023,9:45:00,27.8,18.9,82
21/4/2023,10:00:00,28,15.7,82.4
21/4/2023,10:15:00,26.1,24.2,79
21/4/2023,10:30:00,27.5,27.8,81.5
21/4/2023,10:45:00,26.4,26.2,79.5
21/4/2023,11:00:00,25.2,25.6,77.4
21/4/2023,11:15:00,26.5,20.2,79.7
21/4/2023,11:30:00,27.3,27.5,81.1
21/4/2023,11:45:00,26.8,27.4,80.2
21/4/2023,12:00:00,40.8,24.2,105.4
21/4/2023,12:15:00,39.2,38.5,102.6
21/4/2023,12:30:00,38.1,26.2,100.6
21/4/2023,12:45:00,35.9,36.7,96.6
21/4/2023,13:00:00,28.5,16.2,83.3
21/4/2023,13:15:00,26.4,13.5,79.5
21/4/2023,13:30:00,28.6,29.5,83.5
21/4/2023,13:45:00,27.4,30.2,81.3
21/4/2023,14:00:00,26.9,29.2,80.4
21/4/2023,14:15:00,25.6,21.4,78.1
21/4/2023,14:30:00,27.6,26.8,81.7
21/4/2023,14:45:00,26.1,26.1,79
21/4/2023,15:00:00,25.2,29.4,77.4
21/4/2023,15:15:00,26.5,28.2,79.7
21/4/2023,15:30:00,27,22,80.6
21/4/2023,15:45:00,28.2,16.9,82.8
21/4/2023,16:00:00,27.2,31.3,81
21/4/2023,16:15:00,27.2,21.7,81
21/4/2023,16:30:00,28.5,26.9,83.3
21/4/2023,16:45:00,27.4,23.8,81.3
21/4/2023,17:00:00,36.9,31.8,98.4
21/4/2023,17:15:00,40.3,38.3,104.5
21/4/2023,17:30:00,36.6,28.1,97.9
21/4/2023,17:45:00,39.5,20.3,103.1
21/4/2023,18:00:00,37.9,33.2,100.2
21/4/2023,18:15:00,38.4,26.8,101.1
21/4/2023,18:30:00,39,38.2,102.2
21/4/2023,18:45:00,36.1,27.5,97
21/4/2023,19:00:00,37.2,20.7,99
21/4/2023,19:15:00,36.3,20,97.3
21/4/2023,19:30:00,37.9,27.9,100.2
21/4/2023,19:45:00,41.7,30.7,107.1
21/4/2023,20:00:00,41.4,35.7,106.5
21/4/2023,20:15:00,40.9,34,105.6
21/4/2023,20:30:00,39,19.8,102.2
21/4/2023,20:45:00,41.7,33.1,107.1
21/4/2023,21:00:00,37,39.9,98.6
21/4/2023,21:15:00,35.1,32.6,95.2
21/4/2023,21:30:00,40.8,41.5,105.4
21/4/2023,21:45:00,37.5,37.2,99.5
21/4/2023,22:00:00,41.1,28.7,106
